Platform,Date,Start Time,End Time,Duration,Participant Video on,Participant Mic On,Participant Screen Share,Others Video on,Others Screen Share,Window Minimized,Group,Download,Upload,Total
Google Meet,9/16/2020,12:35:00 PM,12:55:00 PM,0:20:00,0,1,0,0,1,0,0,17.9,3.7,21.6
Google Meet,9/16/2020,6:58:00 PM,8:42:00 PM,1:44:00,0,1,0,0,1,0,1,49.1,16.8,65.9
Zoom,9/16/2020,10:55:00 PM,1:00:00 AM,2:05:00,1,1,1,1,0,0,0,177.2,282.5,459.7
Zoom,9/16/2020,11:59:00 AM,2:02:00 PM,2:03:00,0,1,0,0,1,0,1,294.3,30.5,324.8
WhatsApp,9/20/2020,9:00:00 PM,10:12:00 PM,1:12:00,1,1,0,1,0,0,0,186.3,194.3,380.6
Zoom,9/21/2020,10:56:00 AM,12:57:00 PM,2:01:00,0,1,1,0,0,0,1,44.1,221.2,265.3
Zoom,9/21/2020,7:00:00 PM,7:55:00 PM,0:55:00,0,1,0,1,1,0,1,90.6,29.6,120.2
WhatsApp,9/21/2020,9:28:00 PM,10:27:00 PM,0:59:00,0,1,0,0,0,0,0,14.5,5.5,20
Zoom,9/22/2020,11:03:00 AM,1:15:00 PM,2:12:00,0,1,0,0,1,0,1,100.1,51.5,151.6
Google Duo,9/22/2020,9:28:00 PM,10:17:00 PM,0:49:00,1,1,0,1,0,0,0,136.7,27.8,164.6
WhatsApp,9/22/2020,4:03:00 PM,4:24:00 PM,0:21:00,0,1,0,0,0,0,0,2.1,2.1,4.2
WhatsApp,9/22/2020,3:40:00 PM,3:46:00 PM,0:06:00,0,1,0,0,0,0,0,0.768,0.744,1.5
